study_accession	discrepancy_flags	discrepancy_host	discrepancy_host_missing	discrepancy_gut	discrepancy_multihost	discrepancy_notes
PRJNA1092791	multihost_issue				Deposit sample-level titles explicitly name four donor species: 'Bama-mini pig donor bacteria' (Sus scrofa), 'Beagle dog donor bacteria' (Canis lupus familiaris), plus Macaca fascicularis and Mus musculus implied in the design. Deposit host_species_list shows: Canis lupus familiaris; Macaca fascicularis; Mus musculus; Sus scrofa (four distinct species).	No genuine reporting errors. The study explicitly describes a multi-donor, single-recipient (germ-free mouse) microbiota transplant design, which is correctly reflected in both the paper and deposit metadata.
PRJNA956273						No reporting errors detected. This is a mouse model study of ketogenic diet effects on the microbiome; the animal model host is appropriate and correctly deposited.
PRJNA884830	host_missing		paper names: Rhinopithecius bieti (Yunnan snub-nosed monkey); deposit blank/generic			Host species (Rhinopithecius bieti) is identified in the paper but missing from the deposit host field, which contains only a generic descriptor; sample type is correctly gut-derived (feces).
PRJNA1054761						No reporting errors detected. Paper describes a zebrafish (Danio rerio) intestinal injury model study; deposit correctly identifies Danio rerio as the host organism.
PRJNA843354						No data-quality errors detected. Paper and deposit are consistent: Simmental calves (Bos taurus) gut microbiome study with appropriate WGS library strategy.
PRJNA805352						No reporting errors detected. Host, body-site, and sample metadata are concordant and appropriate for this insect gut metagenomics study.
PRJNA924947						No reporting errors detected. Paper and deposit are consistent: Holstein calves (paper) = bovine (deposit), and all samples are from gut as expected.
PRJNA1043846						No reporting errors detected. Paper and deposit align on insect host (Clanis bilineata), gut sampling context, and functional metagenomics approach.
PRJNA947933						No reporting errors detected. Paper and deposit are fully concordant: chicken (Gallus gallus domesticus) stool gut metagenome samples.
PRJNA1067830	multihost_issue				Deposit host species field explicitly lists 2 distinct species: 'Homo sapiens; Mus musculus'. Sample titles and biome labels include both 'mouse gut metagenome' samples and references to isolates. The paper presents the intervention as a human malnutrition study but the deposit contains samples from two distinct host organisms without clear segregation in the abstract's framing.	The deposit contains samples from two distinct host species (Homo sapiens and Mus musculus) but the paper abstract does not clearly disclose this multi-host composition, constituting a reporting transparency issue.
PRJNA876316						The deposit contains a cataloging error (bacterial taxon in host field instead of animal host metadata), but this does not constitute a genuine reporting error between paper and deposit regarding what organism was sampled; the paper's rat model is appropriate and the samples are correctly from gut.
PRJNA685398						No reporting errors detected; paper and deposit metadata are consistent for host, sample type, and study design.
PRJNA1049576						No genuine reporting errors detected. Rat host in deposit is appropriate for an animal model study of sleep deprivation-induced anxiety-like behaviors.
PRJNA1031251	host_missing		paper names: Jianghan chicken (Gallus gallus domesticus); deposit blank/generic			Host metadata is missing from the deposit (ground-truth gap), though the paper clearly identifies Jianghan chicken as the sampled host.
PRJNA491335						No reporting errors detected. Paper and deposit are consistent regarding Homo sapiens host and fecal gut samples, though deposit metadata may be incomplete if the study included other hominid species.
PRJNA692042						PARSE_ERROR
PRJNA1009258						No reporting errors detected; paper and deposit are consistent for a human gut microbiome study of pediatric leukemia patients with GVHD.
PRJNA1003305	host_missing		paper names: not explicitly named in the provided abstract; deposit blank/generic			The paper abstract fails to explicitly state the host organism, creating a reporting gap; the deposit assigns 'Mice' as the host, but this fundamental mismatch between an apparently human clinical study and a mouse deposit warrants clarification.
PRJNA987703						No reporting errors detected. Paper and deposit are fully aligned on host identity (Bathycoelia distincta) and sample type (gut/midgut).
PRJNA809764						No genuine reporting errors detected. Mus musculus is an appropriate host for an immunosuppressed/transplant-related gut-microbiome study, and no sample-level contradictions are evident.
PRJNA886985						No reporting errors detected. Mouse host in deposit is appropriate for an animal-model study of antibiotic effects on gut microbiome; all samples are gut-derived; no multihosts present.
PRJNA875084						No reporting errors detected. Paper and deposit metadata are concordant for host species (Mustela putorius domestic ferret), and sample context is consistent with gut microbiome study design.
PRJNA935534						Study PRJNA935534 reports neonatal calf faecal microbiome samples; ENA deposit correctly identifies host as Bos taurus with gut biome metadata—no reporting errors detected.
PRJNA942254	multihost_issue				Deposit host_species_list contains 9 distinct species: Cabassous unicinctus, Dasypus kappleri, Dasypus novemcinctus, Dasypus sp., Myrmecophaga tridactyla, Orycteropus afer, Proteles cristata, Smutsia temminckii, Tamandua tetradactyla. Paper title frames this as 'convergent myrmecophagous mammals' (plural, multiple species). While the paper acknowledges multiple species, the deposit explicitly names all 9 species across samples, confirming a genuinely multi-host study.	This is a legitimate multi-host comparative metagenomics study of myrmecophagous mammals; the deposit correctly documents 9 distinct host species in sample-level metadata, and the paper's framing of convergent dietary adaptations across these species is consistent with the deposit structure.
PRJNA906625						All metadata consistent: Daphnia magna hologenome study with single host, gut microbiome samples, no reporting errors detected.
PRJNA641245						No reporting errors detected. Paper and deposit are consistent: chicken gut microbiome study with 20 individual birds sampled for WGS metagenomic analysis.
PRJNA956982						No reporting errors detected. Paper and deposit are fully consistent: calf (young Bos taurus) gut microbiome study with fecal samples.
PRJNA861719						No reporting errors detected. The paper describes quail gut microbiome samples, and the deposit correctly identifies the host as Coturnix (quail) with appropriate gut sample sources (cecum, feces).
PRJNA938989	host_mismatch	paper: Cynoglossus semilaevis (half-smooth tongue sole, a fish) vs deposit: Acinetobacter baumannii (a bacterium)				The deposit host field incorrectly lists 'Acinetobacter baumannii' (a bacterium) instead of the actual host organism, Cynoglossus semilaevis (the fish from which samples were taken).
PRJNA902833						No reporting errors detected. This is a correctly documented mouse model study of NAFLD with appropriate gut microbiome sampling.
PRJNA916642						Paper and deposit are fully consistent: both describe gut microbiome of big-belly seahorse (Hippocampus abdominalis) infected with Edwardsiella piscicida.
PRJNA784741						No reporting errors detected. Paper describes a mouse-model study of lupus using fecal microbiota; deposit correctly identifies Mus musculus with fecal samples as expected.
PRJNA635664						No data-quality issues detected; paper and deposit metadata are fully aligned on host identity and sample type.
PRJEB29346	host_mismatch	paper: salmonid (fish) vs deposit: Gadus morhua (Atlantic cod)				Critical host_mismatch: paper describes salmonid intestinal samples, but deposit is Gadus morhua (Atlantic cod, a gadid), not a salmonid fish.
PRJEB59886						No reporting errors detected; paper and deposit are concordant on salmonid host (Salmo salar) and intestinal microbiome context.
PRJNA822929						No reporting errors detected. Host identity is consistent (yak = Bos grunniens), gut sampling is confirmed, and single-host study is appropriately represented.
PRJEB40866						No genuine reporting errors detected. The deposit's host field contains bacterial taxon names rather than the animal host, but the isolation source correctly identifies mouse cecum, and the paper appropriately describes a murine model study.
PRJNA876956						No genuine reporting errors detected. Deposit host (Nannospalax galili) is consistent with paper's focus on blind mole rats; all samples are gut-derived; no contradictions between paper and deposit metadata.
PRJNA734720						No reporting errors detected. Paper and deposit metadata are fully consistent: both describe a rat gut microbiota study with fecal metagenome sequencing.
PRJNA862309						No reporting errors detected. Host nomenclature reflects synonym variation (Litopenaeus vs Penaeus), and all samples are from intestinal microbiota of shrimp as expected.
PRJNA681986						Study is valid: cattle (Bos taurus) large intestine/fecal microbiome samples are correctly reported in both paper and deposit with consistent sample-level metadata.
PRJNA811648	host_missing		paper names: human (implied by context of oral implantology/periodontal pathogen and systemic disease progression in humans); deposit blank/generic			Host organism (human) is implied by the paper's context but missing from the deposit metadata, constituting a metadata gap rather than a true mismatch.
PRJNA669162						No reporting errors detected; paper and deposit are consistent for a rat-based animal model study of intestinal ischemia-reperfusion injury with integrated multi-omics analysis.
PRJNA734104						No reporting errors detected. Paper and deposit agree on mouse host and gut sampling source; appropriate animal-model study design for COVID-19 research.
PRJNA799796						No genuine reporting errors detected. The mouse model host in the deposit is appropriate for this colorectal cancer research study, and all samples are correctly identified as gut metagenome.
PRJNA801062						No reporting errors detected. Paper describes a rat (Rattus norvegicus) collagen-induced arthritis model, and deposit correctly identifies Rattus norvegicus as host; this is an appropriate animal-model study.
PRJNA801070						No reporting errors detected. Host identity, sample type, and metadata are internally consistent between paper and deposit.
PRJNA739153						No reporting errors detected. Paper and deposit are fully consistent: murine meta-analysis study with mouse (Mus musculus) as host, all samples from feces (gut origin), single host species.
PRJNA731974						No data-quality issues detected. Paper and deposit are consistent: this is a properly documented mouse gut microbiome study of metabolic dysfunction.
PRJNA494875						No reporting errors detected. Paper describes weanling piglet (Sus scrofa) gut microbiome; deposit correctly records Sus scrofa as host with fecal samples from gut, consistent with study design.
PRJNA787384	host_mismatch; multihost_issue	paper: Yunnan snub-nosed monkey (Rhinopithecus bieti) AND bamboo-eating panda (Ailuropoda melanoleuca) vs deposit: Rhinopithecus bieti only			Paper explicitly studies two distinct host species: Yunnan snub-nosed monkey (Rhinopithecus bieti) and bamboo-eating panda (Ailuropoda melanoleuca). Deposit host field lists only Rhinopithecus bieti. Sample titles (W-10, W-12, W-24, W-25, W-29) do not disambiguate which samples belong to which host.	The paper studies gut microbiomes from two host species (Yunnan snub-nosed monkey and bamboo-eating panda), but the deposit lists only Rhinopithecus bieti, indicating incomplete or mismatched host metadata.
PRJNA718160	host_mismatch; multihost_issue	paper: Rhinopithecus roxellana vs deposit: Rhinopithecus roxellana; Macaca mulatta			Deposit sample-level metadata explicitly lists 2 distinct host species: Macaca mulatta and Rhinopithecus roxellana. Paper title and abstract focus solely on Rhinopithecus roxellana captivity, with no mention of Macaca mulatta samples.	The deposit metadata reveals explicit samples from two distinct host species (Rhinopithecus roxellana and Macaca mulatta), but the paper describes only Rhinopithecus roxellana, constituting a genuine multihost reporting error.
PRJNA699677						No reporting errors detected. Paper and deposit are consistent: bumblebee (Bombus terrestris) hindgut samples with gut-appropriate metadata.
PRJNA408020						No reporting errors detected. Paper describes chicken gut microbiome; deposit host 'avian' is a valid general term encompassing chicken, and sample metadata is consistent with poultry gut origin.
PRJNA473429						Paper and deposit are concordant: mouse fecal samples from gut microbiome study, with matching host identity (mouse/Mus) and appropriate sample type.
PRJNA671745	host_missing; gut_sample_issue		paper names: Procambarus clarkii (red swamp crayfish); deposit blank/generic	Deposit isolation sources and biome labels include: 'sediment of red swamp crayfish aquaculture pond', 'water of red swamp crayfish aquaculture pond', 'sediment metagenome', and 'aquatic metagenome'. These are non-gut environmental samples.		The deposit metadata is incomplete (host field generic) and reveals a multi-environment study including non-gut samples (sediment, water) that are not emphasized in the paper's gut-focused title and abstract.
PRJNA729899						No quality issues detected. Paper and deposit are concordant; this is a properly documented mouse gut microbiome study with cecal content samples.
PRJEB44507						No reporting errors detected. Ancient human fecal samples (paleofeces) from Hallstatt miners correctly documented as Homo sapiens with appropriate gut-sourced microbiome samples.
PRJNA728669	gut_sample_issue			Deposit isolation source is 'Chicken manure', not black soldier fly gut.		The study claims to survey bacterial species in BSF larval guts, but the deposit isolation source is documented as chicken manure (the rearing substrate), raising uncertainty about whether samples are actually from BSF gut tissue or from the substrate itself.
PRJNA722063						No genuine reporting errors detected. Paper studies Przewalski's horses; deposit uses the generic term 'horse metagenome', which is a permissible abstraction of the specific host and consistent with the fecal sampling described.
PRJEB41222	host_missing		paper names: broiler chicks; deposit blank/generic			Host missing: deposit lacks host identity metadata while paper clearly describes broiler chick cecal microbiome samples.
PRJNA706869						No reporting errors detected. Host species matches (goat = Capra hircus), gut samples are correctly labeled (cecum), and metadata is internally consistent.
PRJEB41306	host_missing		paper names: Blattella germanica (German cockroach); deposit blank/generic			The deposit host field is improperly generic ('insect gut metagenome') instead of recording the species-level host identity (Blattella germanica) that the paper clearly identifies.
PRJNA559386						No reporting errors detected. This is a methods paper demonstrating nanopore-based DNA methylation detection using mouse gut microbiome samples, which is appropriate and consistent across paper and deposit metadata.
PRJNA699440						Study is a mouse model investigating gut microbiota effects of maternal diet supplementation; all deposit metadata (host, sample type, isolation source) are accurate and consistent with the paper.
PRJNA663847						No data-quality issues detected. The paper correctly describes an animal-model study in rats, and the deposit metadata appropriately specify Sprague Dawley rat with fecal gut samples.
PRJNA605640						No reporting errors detected. Paper and deposit are consistent for a mouse-model study of prebiotic effects on aging gut microbiota.
PRJNA647157						No reporting errors detected; paper and deposit are consistent on host identity and sample type.
PRJNA667247						No reporting errors detected. Paper describes a bovine (Bos taurus) duodenal microbiome study, deposit metadata is consistent and complete.
PRJEB23642						Host mismatch detected: paper text implies human samples but deposit identifies minke whale (Balaenoptera acutorostrata) as the host organism.
PRJNA316560	host_mismatch	paper: human (implied by title and abstract fragment 'Large-scale metagenome assemblies of human...') vs deposit: Anser indicus (bar-headed goose)				Host mismatch: paper indicates human metagenome assemblies while deposit specifies Anser indicus (bar-headed goose) as the host.
PRJNA316570						No reporting errors detected; deposit metadata (Anser indicus / Bar-headed goose) is consistent with sample titles and biome labels.
PRJNA624740						No reporting errors detected; yak (common name) and Bos grunniens (scientific name) are in agreement per Rule 2, and all fecal samples are appropriate for a gut microbiome study.
PRJEB38000	host_missing		paper names: humans (adults with various lactase persistence genotypes); deposit blank/generic			Host metadata is missing from the ENA deposit—the paper describes human gut microbiome samples but the deposit host field is blank and contains only generic 'metagenome' labels.
PRJEB32496	host_mismatch; multihost_issue	paper: swine and cattle vs deposit: Bos (cattle only)			Paper abstract and title explicitly state the study sampled 'swine and cattle' (two distinct host species). Deposit host field lists only 'Bos' (cattle), failing to capture the swine component that is central to the paper's subject matter.	The deposit host metadata is incomplete: it captures only Bos (cattle) when the paper explicitly studies both swine and cattle gut microbiomes, representing a genuine reporting gap in host species documentation.
PRJEB31051	host_missing		paper names: Blattella germanica; deposit blank/generic			The deposit lacks specific host species identification (Blattella germanica), recording only the generic 'insect gut metagenome', which constitutes a host_missing metadata gap.
PRJNA478457						No data-quality issues detected. The mouse host in the deposit appropriately matches the animal-model study design described in the paper, and all samples are correctly identified as gut-derived.
PRJEB31742	host_missing		paper names: Pig (Sus scrofa); deposit blank/generic			Host species (pig) is missing from the deposit metadata, though clearly documented in the paper.
PRJNA542645						No reporting errors detected. The deposit correctly identifies Mus musculus as the host for this mammalian gut microbiome methods study.
PRJNA555120						No reporting errors detected. Paper and deposit are consistent: rhesus monkeys (Macaca mulatta) with fecal gut samples.
PRJNA518164						No data-quality issues detected. Paper and deposit are concordant on host identity, and sample type is appropriately intestinal.
PRJNA193472						No reporting errors detected; deposit represents a subset of the paper's multi-species comparative study, with all samples from Macrotermes natalensis gut.
PRJEB21490	host_missing		paper names: mice; deposit blank/generic			Host species 'mice' is named in the paper but the deposit host field is blank/generic, constituting a host_missing metadata gap.
PRJNA430956	multihost_issue				Deposit explicitly lists two distinct host species (Papio kindae and Papio anubis) in the host_species_list. Sample titles (CC1, CC2, CH, CS, DE) are too generic to disambiguate which samples belong to which species, but the deposit metadata itself indicates both species are represented.	The deposit contains samples from two distinct baboon species (Papio kindae and Papio anubis), while the paper title refers to 'Baboon' without explicit acknowledgment of the species heterogeneity.
PRJNA381379						No reporting errors detected. The paper and deposit are consistent: both describe samples from the kakapo (Strigops habroptila), with appropriate fecal/gut-derived samples.
PRJNA415003	gut_sample_issue; multihost_issue			Deposit isolation_source field lists 'feces' exclusively, which is a gut-derived sample. Study title mentions 'bat metagenome' but isolation source is explicitly feces (gut content), not gut tissue itself.	Deposit host_species_list explicitly contains 4 distinct bat species: Desmodus rotundus, Macroderma gigas, Rhinolophus ferrumequinum, Rousettus aegyptiacus. Paper abstract focuses on the common vampire bat (Desmodus rotundus) hologenome without explicitly stating this is a multi-host comparative study.	Genuine multihost_issue detected: deposit contains 4 distinct bat species while paper presents study as focused on common vampire bat; gut_sample_issue flagged but scientifically appropriate (feces for microbiome study).
PRJNA269993						No data-quality issues detected; paper and deposit align on a single dairy cow host, with gut (fecal) samples appropriately labeled.
PRJNA158313	multihost_issue				Sample titles explicitly mention both 'Rhinopithecus bieti' and 'pygmy loris' (Xanthonycticebus pygmaeus); biome labels also list 'Xanthonycticebus pygmaeus'. The deposit's sample-level metadata names at least two distinct primate host species.	Critical mismatch: paper describes Iberian lynx (Lynx pardinus) gut microbiome; deposit lists primate hosts (Rhinopithecus bieti and pygmy loris), which are entirely different organisms. Additionally, the deposit exhibits multihost data not matching the single-host paper.
