study_accession	study_title	study_description
PRJNA628114	mouse gut metagenome Raw sequence reads	Our previous studies have suggested that oral resveratrol (RSV) plays an important role in nephroprotective effects.The current study showed that RSV protects against the progression of diabetic nephropathy by remodeling eubiosis of gut microbiota and decreasing endotoxemia, including attenuating systemic inflammation in the intestinal environment, and lowering renal inflammation, and improved renal function
PRJNA630144	Martes zibellina Metagenome	Intestinal microbial genome of sable
PRJNA630862	Pig gut microbiome and its relationship with host weight	This dataset is composed of ten samples collected from pigs weighing 30kg and 90kg, respectively.
PRJNA631724	Metagenomic analysis of mosquito excreta for environmental virome sampling	Traditional testing for arboviruses in mosquitoes requires a priori knowledge and choosing appropriate assays for their detection. Mosquitoes can potentially provide a lot of additional information, including other unexpected or unknown arboviruses, and their own genetic material. Moreover, mosquitoes in effect act as environmental samplers, taking blood from the hosts they feed upon. These blood samples could potentially be infected with other pathogens that are not necessarily mosquito-transmitted. The goal of this study was to evaluate the application of metagenomic analysis of mosquito excreta for virus detection and virus discovery.
PRJNA631951	Cattle rumen metagenome	Metagenomic analysis of rumen microbiota attached to feed particulates
PRJNA635116	The gut microbiome of traditional human populations and sympatric nonhuman primates reflects parallel functional adaptations in response to analogous ecological gradients	Traditional human communities have shown more microbiome similarities with nonhuman primates in comparison to industrialized populations. In this study, we have profiled the fecal metagenomes of BaAka hunter-gatherers and Bantu agriculturalists from Central Africa and compared with the sympatric gorillas across seasons of variable dietary intake to understand this functional convergence.
PRJNA635664	Labiotermes hindgut metagenome - raw metagenomic reads	Metagenomic sequencing of termite gut metagenome
PRJNA637365	Dysbiosis in metabolic genes of the gut microbiomes of patients with a Pouch	"Pouchitis develops in former patients with UC after total proctocolectomy and ileal pouch anal anastomosis (""pouch surgery""), and is characterized by inflammation of the previously normal small intestine comprising the pouch. The extent to which microbial dysbiosis in pouchitis resembles that of CD or UC has not been investigated in depth and the pathogenesis of pouchitis largely remains unknown.</p><p>Here we analyzed the shotgun metagenomes of patients with a pouch, IBD and healthy subjects with the following aims: 1) To identify microbial signatures (species and functional genes) that might be common to disease phenotypes and thus to place patients with a pouch in the context of ""primary"" IBD. 2) To examine several key bacterial functions that may underlie the pathogenesis of pouchitis."
PRJNA640717	metagenomic sequencing in pork production chain	to learn the distribution of microbial diversity, antibiotic resistant genes, mobile genetic elements and virulence factors through the pork production chain
PRJNA641245	Microbial diversity	Gut microbial diversity analysis
PRJNA641765	Trace amine producing bacteria are widespread in the human skin microbiota	Analysis of skin microbiome
PRJNA643301	porcine virome	Samples of fecal matter from piglets with and without diarrhea were taken in the nursing farms, then followed at the nursery farms and twice in their fattening farms, at the beginning and at the end. The objective of the study was to sequence the virome of these pigs and characterize the viruses from piglets with and without diarrhea and from each of the 4 life stages.
PRJNA645015	Honeybee gut microbiome	Gut microbes have a close relationship with host and plays a significant role in the health of host.
PRJNA645191	Parity is associated with maternal gut microbiome composition during pregnancy and offspring microbiome composition in pigs	Shotgun metagenomic sequencing of fecal samples collected from 18 pregnant sows at days 37 (beginning) and 114 (immediately pre-farrowing) of pregnancy reveal that parity is associated with changes in the porcine gut microbiome at the end, and not the beginning, of pregnancy. Shotgun metagenomic sequencing of fecal swabs from 3 offspring from each mother 10 days after birth reveals that maternal parity is associated with the early infant gut microbiome composition.
PRJNA646934	Microbial community diversity of feces from food animals	Monitoring the pollution risk of food animal feces
PRJNA647157	Metagenomic studies of the gut microbiota of Tibetan pig	Metagenomic sequencing on the fecal samples of Tibetan pigs is performed to investigate the characterizations of microbial diversity, functional diversity, metagenome-assembled genomes, and enzyme discovery.
PRJNA650228	Development of standard protocols for shotgun metagenomics analyses of human fecal microbiota (raw sequencing reads)	To accelerate translation of research on the human microbiome, it is necessary to reduce methodological variations in shotgun metagenomics analysis that compromise comparability and reproducibility across studies. We performed a two-phase study to establish validated protocols for metagenomic analysis of human fecal microbiota.
PRJNA655594	Mus musculus Metagenome	Effect of microbiota-accessible carbohydrates (MAC) elucidated using WGS approach
PRJNA656000	pig gut metagenome Raw sequence reads	Evaluated the effect of ZBED6 gene-edited pigs editing on the feces microbial community by metagenomic sequencing. Feces sequencing results were divided into two groups: KO group and WT group.
PRJNA656141	feces metagenome Raw sequence reads	Metagenomics as a tool for identification and molecular genetic characterization of new potentially dangerous viruses
PRJNA656314	Environmental concentrations of antibiotics alter the zebrafish gut microbiome structure and potential functions	Gut microbiome samples from the control and antibiotic exposed zebrafish
PRJNA656389	Metagenomic sequencing of the digestive tract of buffalo	Metagenomic sequencing of the digestive tract of buffalo
PRJNA657304	Shotgun Sequencing of Dog Coprolites	These dog coprolites were recovered from archaeological sites in the American Midwest, dating to approximately 1000-1200 years before present. These coprolites were shotgun-sequenced for the purpose of examining the ancient dogs' diet and gut microbiome, to compare to other archaeological analysis methods to examine diet and health of these dogs and the humans they associated with.
PRJNA658643	Gut Microbiome Sequencing Result of Arbor Acres Broilers	Gut bacterial communities of the Arbor Acres broilers in different sampling part.
PRJNA660443	Metagenome sequencing of the human gut during enteric infection	Metagenome sequences of human stool from patients infected with Campylobacter and healthy controls
PRJNA660549	16sRNA sequencing data of 12cecum content from chicken	Y east cell wall product, intestinal IgA response, cecum microflora,Newcastle disease virus vaccine
PRJNA661076	Feces metagenome Metagenome	Determination of pathogens associated with diarrhoea in the fecal sample collected from the cattle suffering from diarrhoea infection
PRJNA662107	human metagenome Raw sequence reads	Oral and gut metagenomes from female subjects
PRJNA663646	External validation cohorts for CRC-SNP analysis	In this study, we established a novel colorectal cancer prediction model based on unique microbial single nucleotide variants markers
PRJNA663847	Antidepressants fluoxetine and amitriptyline induce alterations in intestinal microbiota and gut microbiome function in chronic unpredictable mild stress (CUMS) rats	Metagenomics sequencing of gut microbiota in SD rats
PRJNA665253	16S rRNA sequencing of swine fecal microbiota during the first three weeks after weaning Raw sequence reads	16S rRNA sequencing of swine fecal microbiota during the first three weeks after weaning
PRJNA666163	Chicken Cecal Metagenome Sequencing	Chicken cecal metagenome sequencing to study the impacts of bacitracin and berry pomaces feeding in broiler chicken vaccinated or not against coccidiosis
PRJNA667194	Sus scrofa Metagenome	In this study, using viral metagenomics method, we identified one novel PAstV4 from pig fecal samples collected in Anhui province, China. Further, the complete genome was obtained and analysis for genetic evolution and recombination.
PRJNA667247	In Vivo Microbiome Profiling of the Luminal and Mucosal Surface of the Duodenum Using a Cannulated Yearling Bovine Model	The purpose of this study was to provide a detailed analysis of the enteric mucosal microbiome in vivo through the use of serial mucosal biopsy and luminal samples collected laparoscopically from cannulated yearling cattle
PRJNA669162	metagenomics analysis of intestinal ischemia reperfusion in rats	To reveal the taxonomic and functional changes of gut content during intestinal ischemia and reperfusion in rats
PRJNA671703	Metagenomic sequencing from dairy farm samples	Metagenomic sequencing from fresh manure, manure pits, and field soil samples collected on dairy farms.
PRJNA671745	red swamp crayfish gut Metagenome	the investigate the effect of rice-crayfish cultivation on gut metagenomics of red swamp crayfish
PRJNA672868	Pig metagenome	Shotgun metagenome of pig feces
PRJNA673878	Broiler gut metagenome	This study examined the influence of fermented rapeseed meal on intestinal morphology and gut microflora of broiler chickens
PRJNA673918	Shorgun metagenomics of T2DM human gut microbes associated with FMT	Shorgun metagenomics of T2DM human gut microbes associated with FMT
PRJNA678871	Dissecting microbial communities and resistomes for interconnected humans, soil, and livestock.	A debate is currently ongoing as to whether intensive livestock farms may constitute reservoirs of clinically relevant antimicrobial resistance (AMR), thus posing a threat to surrounding communities. Here, combining shotgun metagenome sequencing, machine learning (ML), and culture-based methods, we focused on a poultry farm and connected slaughterhouse in China, investigating the gut microbiome of livestock, workers and their households, and microbial communities in carcasses and soil. For both the microbiome and resistomes in this study, differences are observed across environments and hosts. However, at a finer scale, several similar clinically relevant antimicrobial resistance genes (ARGs) and similar associated mobile genetic elements were found in both human and broiler chicken samples. Next, we focused on Escherichia coli, an important indicator for the surveillance of AMR on the farm. Strains of E. coli were found intermixed between humans and chickens. We observed that several ARGs present in the chicken faecal resistome showed correlation to resistance/susceptibility profiles of E. coli isolates cultured from the same samples. Finally, by using environmental sensing these ARGs were found to be correlated to variations in environmental temperature and humidity. Our results show the importance of adopting a multi-domain and multi-scale approach when studying microbial communities and AMR in complex, interconnected environments.
PRJNA681546	feces metagenome Metagenome	to study the gut microbiota structure changes in ZDF rats after Berberine intervention
PRJNA681986	Fecogenome	The first reference fecogenome
PRJNA685398	Honey bee gut microbiome	Gut metagenome analysis of 20 honey bee families sampled in March and May repeatedly.
PRJNA688069	S. enterica Intracloacal challenge chicken cecum microbiome Raw sequence reads	Characterizing Antimicrobial Resistance in Poultry Production Environments
PRJNA688310	Wide distribution of alternatively coded Lak megaphages in animal microbiomes	The reconstruction of Lak megaphage genomes from animal microbiomes
PRJNA690892	Fecal microbiome of wild Bactrian camels	Gut microbiota composition and function profiles of wild Bactrian camels
PRJNA691798	Fecal samples of Listeria monocytogenes infected mice metagenomes Metagenome	A geriatric murine model of listeriosis as a human surrogate of listeriosis was used to study the effect of aging and L. monocytogenes infection.
PRJNA691978	time-series freshwater dialysis bag mesocosm metagenomes	freshwater mesocosm were spiked separately with cow, pig, or human feces and monitored overtime with metagenomics. Metagenomes were also sequenced from the fecal material used as inocula.
PRJNA692042	Primate phageomes are structured by superhost phylogeny and environment	Humans harbor diverse communities of microorganisms, the majority of which are bacteria in the gastrointestinal tract. These gut bacterial communities in turn host diverse bacteriophage (hereafter phage) communities that have a major impact on their structure, function, and ultimately human health. However, the evolutionary and ecological origins of these human-associated phage communities are poorly understood.</p><p>To address this question, we examined fecal phageomes of 23 wild non-human primate taxa, including multiple representatives of all the major primate radiations. We find relatives of the majority of human-associated phages in wild primates. Primate taxa have distinct phageome compositions that exhibit a clear phylosymbiotic signal, and phage-superhost co-divergence is often detected for individual phages. Within species, neighboring social groups harbor compositionally and evolutionarily distinct phageomes, which are structured by superhost social behavior. Captive non-human primate phageome composition is intermediate between that of their wild counterparts and humans. Phage phylogenies reveal replacement of wild great ape-associated phages with human-associated ones in captivity and surprisingly, show no signal for the persistence of wild-associated phages in captivity.</p><p>Together, our results suggest that potentially labile primate-phage associations have persisted across millions of years of evolution. Across primates, these phylosymbiotic and sometimes co-diverging phage communities are shaped by transmission between groupmates through grooming and are dramatically modified when primates are moved into captivity.
PRJNA692830	Whole genome metagenomic analysis of the gut microbiome in HIV-1 infected individuals on antiretroviral therapy	Gut microbiome plays a significant role in HIV-1 immunopathogenesis as well as in HIV-1-associated complications. Previous studies have mostly been based on 16S rRNA gene amplicon sequencing, which is limited in taxonomic resolution at bacterial genus level at best, and inferred functionality. In this study, we performed Shotgun metagenome sequencing in HIV-1 infected individuals on antiretroviral therapy.
PRJNA694380	Metagenomics of antimicrobial and heavy metal resistance in the cecal microbiome of fattening pigs raised without antibiotics	The comparative study of microbial profile, AMR genes, and MRGs from cecal contents obtained from fattening pigs raised with and without antibiotics.
PRJNA694773	Inhibitory effects of breast milk-derived Lactobacillus rhamnosus Probio-M9 on colitis-associated carcinogenesis by restoration of the gut microbiota in a mouse model	Metagenome sequences
PRJNA695396	Bighead carp intestinal 16S rRNA gene sequencing	High-throughput 16S rRNA gene sequencing (MiSeq platform, Illumina) was perfomed to study the fish intestinal microbiomes community profile.
PRJNA699146	Effect of pectin with different molar mass	Effect of pectin with different molar mass
PRJNA699440	gut metagenome Raw sequence reads	Neonatal MFGM supplementation could modulate the structure of gut microbiota communities and may have long-term protective effects on lipid and glucose metabolism.
PRJNA699677	Individual differences of gut microbes in bumblebee hindguts	The abundances of specific gut microbes differ in individual bees and affect their behaviour
PRJNA704780	Gut microbiome - Chicken Abdominal Fat Deposition	Specific Microbial Taxa and Functional Capacity Contribute to Chicken Abdominal Fat Deposition
PRJNA706869	A metagenomic in the cecum of dairy goats fed different rumen degradable starch	A metagenomic in the cecum of dairy goats fed different rumen degradable starch
PRJNA712972	PIGA gene responsible for GPI anchor biosynthesis : knockout leads to gut microbiome dysbiosis	Gut micrbiota dysbiosis associated with PIGA gene (responsible for GPI anchor biosynthesis)
PRJNA714611	Metagenome Raw sequence reads	WGS metagenome of farmed atlantic salmon isolated from the pyloric caecum
PRJNA715601	COPSAC corhot study of infant gut microbiome	Investigating infant gut microbial composition and gut microbial function
PRJNA715658	Genome-resolved metagenomics of the chicken gut microbiome	A total of 751 samples were collected from the gut of male broiler chickens (Ross 308) and investigated through shotgun metagenomic sequencing. Metagenomic assembly and binning was performed to reconstruct 155 metagenomic assembled bacterial genomes with a completeness of at least 80%.
PRJNA717669	Rat Tissue Metagenomic Shotgun Sequencing Samples from St. Kitts	Metagenomic shotgun sequences for kidney, spleen, and lung samples collected from two rat species, Rattus rattus (R28) and Rattus norvegicus (R22, R26, and R27)
PRJNA718160	Fecal metagenome of monkeys Raw sequence reads	Nine fecal metagenomes of captive Rhinopithecus roxellana, 9 fecal metagenomes of wild Rhinopithecus roxellana, and 10 fecal metagenomes of Macaca mulatta. Our aim was to determine whether the gut microbiota provided any help for R. roxellana in the adaptation to a captive environment.
PRJNA718322	Cholesterol-specific diet-microbiome-host interactions	This project aims to understand cholesterol-specific microbiome-host interactions through unveiling cholesterol-specific microbial interactors in the mammalian intestine and identifying the associated cholesterol-derivatives, finally to interrogate the biological significance driven by the above events in the host.
PRJNA721002	dog and human metagenome	fecal metagenome from dogs and their owner in families and dogs in kennles.
PRJNA721235	Global study of microbial diversity on volcano rabbit feces	Microbiome and their role in plant fiber and secondary metabolites degradation
PRJNA722063	Metagenomic sequencing of fecal samples from Przewalskii's horse	To identify the function of intestinal microbiota.
PRJNA722129	The possible mechanism of Probio-M8 to relieve the symptoms of asthma patients	As a chronic disease, asthma is a consequence of dysregulated host-microbe interactivity in the context of lung inflammation. Intervene of gut microbiota using immunomodulatory probiotics, alone or synergize with other treatments, are potential strategies for the enhance curative effect for asthma. Here, we conducted a randomized, double-blind, and placebo-controlled human trial that 55 asthma patients were divided into the probiotic (n=29) and control (n=26) groups, receiving the routine regimen with or without probiotics for 3 months, respectively. Collectively, our results suggested that the specific probiotic synergize with conventional therapy to improve the clinical efficacy in asthma therapy by probiotic-modified bacteriome, bacteriophage, gut microbial metabolic potential and host immune, which also highlight the regulating the gut-lung axis in is a crucial link in asthma therapy.
PRJNA722684	Research on diversity of gut microbes	The microbial community diversities of gut from moose gut
PRJNA723218	bovine gastrointestinal microbiome and RNA-seq data	Raw sequence reads of 120 metagenomic samples of gastrointestinal digesta from 10 regions of dairy cows and corresponding 120 transcriptome samples of the gastrointestinal mucosa.
PRJNA723283	metagenomics of Linwu duck	Microbial metagenomics of Linwu duck treated with dietary ferulic acid
PRJNA723444	Balb/c mouse Raw sequence reads	Balb/c 16S-rRNA Raw sequence read
PRJNA723631	Chicken litter pre-application treatment on the abundance and transmission of antibiotic resistance genes to vegetables at harvest.	In this study, raw and composted chicken litter was applied to field plots that were cropped to radishes. The impact of treatment on manure composition and distribution of antibiotic resistance genes and bacteria on vegetables at harvest was determined.
PRJNA726842	gut microbiome and resistome of wild and zoo-captive macaques	Characterization of the gut microbiome and resistome of wild and zoo-captive monkeys
PRJNA728091	Study of microbial community from mixed cow-dung and plant sample	Metagenomic study of microbial community from mixed cow-dung and plant sample
PRJNA728379	Metagenome of pig fecal bacteria	Analyze the bacteria and antibiotic resistance gene in pig fecal in China
PRJNA728669	Hermetia illucens Metagenome	A molecular survey of bacterial species in the guts of black soldier fly larvae (Hermetia illucens) reared on two urban organic waste streams in Kenya
PRJNA63661	Microbial composition of samples from infant gut	The microbial composition of the gut likely contributes to a wide-range of health and disease states including intestinal inflammation, atopic disease, and possibly diseases of adulthood, such as heart disease and obesity. The early establishment of the gut microflora is suspected to have a particularly profound impact protecting the gut from infectious disease and on long-term subsequent health by predisposing individuals to atopic or autoimmune disease later in life. In contrast to the large-scale efforts of the Human Microbiome Project to characterize the microbial flora of healthy adults, relatively little has been accomplished to characterize the early establishment of the microbiota in infants. <p> The administration of antibiotics to infants has the capacity to profoundly affect the early acquisition, establishment, and natural maturation of commensal microflora. Prematurity is another major factor that is thought to influence 'normal' gut microbial composition in early life. A high number of pre-term infants receive antibiotic therapy prophylactically the immediate and long-term effects of antibiotic treatment on infant and later health outcomes are unknown. We hypothesize that gestational age influences the ability to support 'normal' gut microbiota, and that antibiotic administration in the first few weeks of life can alter or delay the development of a 'normal' microbiota and may lead to adverse health outcomes. If we hope to promote the healthy establishment of early gut colonization and thereby improve health outcomes, we need to establish what 'normal' colonization looks like across gestational ages and apply this knowledge as a benchmark to understand the impact of antibiotic treatment in early postnatal life. <p> In this project, we propose to examine the microbiome in four cohorts ranging from extremely preterm to term, with birth weights appropriate for gestational age: Group 1) 23 to 27 weeks and extremely low birth weight [ELBW, <1000 grams] Group 2) 28 to 32 weeks and very low birth weight [VLBW, >1000 to <1500 grams] Group 3) 33 to 36 weeks and low birth weight [LBW, >1500 to <2500 grams] and Group 4) term (37 to 42 weeks) and normal [>2500 to <4000 gram] birth weight. The infant gut microbiome will be assessed longitudinally in study infants from the first postnatal week to 18 months of age, and will include untreated and antibiotic-treated infants.
PRJNA685168	Multi-omics suggest diverse mechanisms for response to biologic therapies in IBD	The intestinal microbiome is a key determinant of response to biologic therapy in inflammatory bowel disease. We conducted a prospective study, profiling baseline stool and blood samples, in patients with moderate-to-severe Crohn's disease or ulcerative colitis initiating anti-TNF, anti-IL12/23 (grouped as anti-cytokine therapy), or anti-intergrin therapy. Patients were assessed at 14 weeks for clinical remission and 52 weeks for clinical and endoscopic remission. Baseline microbial richness was a key feature indicating preferential response to anti-cytokine therapy. Increase diversity of baseline samples could be attributed to increased abundance of microbial specific competent in the 7-alpha/beta-dehydroxylation of primary to secondary bile acids. Paired serum metabolomic analysis reaffirmed the readouts of microbial-derived secondary bile acids. Serum signatures of immune-proteins reflective of microbial diversity identify a subset of patients who were more likely to achieve remission with anti-cytokine therapy. Twenty seven unique serum immune-proteins profiles associated with remission in this study were unique to specific therapeutic classes. The multi -omic profiles identified from this study could aid physicians to determine a. priori the therapeutic class most likely to benefit patients, as well as potentially serve as novel targets for newer therapies to treat IBD.
PRJNA729899	Integrated metagenomics and metabolomics to reveal the effects of policosanol on modulating the gut microbiota and lipid metabolism in hyperlipdemic C57BL/6 mice	The aim of the study was to investigate the regulatory effects of policosanol on hyperlipidemia, gut microbiota and metabolic status in a C57BL/6 mouse model.
PRJNA730677	Genomic adaptations of Escherichia coli strains from patients with inflammatory bowel diseases	Comparative genomic study of E. coli from fecal metagenomes of patients with IBD, revealing lineages with different metabolic capabilites and disease-specific adaptations.
PRJNA730805	Integrative Analysis of the Western Diet-Induced Metabolic Phenotype and Microbiota Changes	This project was an investigation of fecal microbiome samples of mice on chow and high-fat western diet over 12 weeks.
PRJNA731974	1 Fecal metagenomic sequencing	This study showed that long-term consumption of BsS-RS06551 had a significant inhibitory effect on obesity induced by a high-fat diet and was more potent in inhibiting obesity than prebiotic inulin. And it showed a beneficial effect on host glucose, lipid metabolism, and gut microbes composition. Considering the colonization potential of bacteria, this engineered bacteria provided a new strategy for the effective and convenient treatment of obesity in the long term.
PRJNA732531	Gut metagenomes from 48 lower and higher termites	Metagenomic (Illumina sequencing) data from the gut of 48 species of lower and higher termites
PRJNA734100	studies of metagenome sequencing on swine manure and soil	Metagenome sequencing
PRJNA734720	Dynamics of gut microbiota in rats	Our study provides insights into the dynamics and correlation networks of gut microbiota during the process of being exposed to hypobaric hypoxia to getting back to normoxic conditions and reveals the response process of gut microbiota to changes in external oxygen concentration.
PRJNA734860	Stool microbiome of Hispanics in the Cameron County Hispanic Cohort	This study aimed to identify microbiome signatures and microbial functions associated with NAFLD and common co-morbidities in the Hispanic population.
PRJNA736861	Different source of pectin	The gut microbes changes effected by different source of pectin
PRJNA737271	Piglet gut and in-barn manure from farms on Raised Without Antibiotics program display a reduced antimicrobial resistance but an increased prevalence of pathogens	In response to new stringent regulations in Canada on the use of antibiotics in animal production, many farms implemented practices to produce animals that are Raised Without Antibiotics (RWA) from birth to slaughter. This study aimed to assess the impact of RWA production practices on reducing the actual total on-farm use of antibiotics, occurrence of pathogens, and the prevalence of antimicrobial resistance (AMR). A 28-month longitudinal surveillance monitoring of farms that adopted the RWA program and conventional farms using antibiotics as per the new regulations (non-RWA) was conducted by collecting fecal samples from 6-week old pigs and composite ma-nure from the barn over 6 time points and applying whole genome sequencing (WGS) to assess the prevalence of AMR genes as well as the abundance of pathogens. Analysis of in-barn drug records confirmed the decreased consumption of antibiotics in RWA barns compared to non-RWA barns. WGS analyses revealed that RWA barns had reduced frequency of AMR genes in piglet feces and in barn manure. However, metagenomic analyses showed that RWA barns had significant increase in the frequency of pathogenic Firmicutes in fecal samples and pathogenic Proteobacteria in barn manure samples.
PRJNA738554	The influence of the low-iron diet and the protective effect of Lactobacillus casei Zhang from the perspective of gut microbiota	Nutritional iron deficiency is a health problem faced by many developing countries. Now there are many schemes about the iron supplement, among them, the research about adjusting iron homeostasis by probiotics is worthy of attention. We decided to use metagenomics to reveal the effect of a low-iron diet on the structure and function of mice gut microbes, combined immune technology to investigate the inflammation of mice, as well as found the effect of Lactobacillus casei Zhang intervention on mice under the background of a low-iron diet. The results of the study showed that the LCZ can regulate the structure and function of the gut microbiota, demonstrates higher bacterial diversity, and up-regulates the metabolic pathways of B vitamins, in addition to the above effects, the LCZ group shows significantly lower levels of IL-18 pro-inflammatory factors compared to the low-iron diet froup. Our study demonstrated that LCZ has potential probiotic effects on the disorder of gut microbiota structure and function caused by a low-iron diet.
PRJNA738608	Global Canine Shotgun Microbiomes	This study sampled fecal microbiomes from dogs in Laos, India, South Africa, and the US for shotgun sequencing, to produce both taxonomic and functional comparisons and better understand fecal microbiome diversity in canines.
PRJNA738684	Branched-chain sugar of pectin	gut microbe changes effected by different branched-chain sugar of pectin
PRJNA739153	Aging male C57bl/6 mouse gut microbiome	The study was to characterize young and old male C57bl/6 mice gut microbiome and identify aging-specific metabolic features by whole genome sequencing.
PRJNA741606	Rumen content metagenome of goat kids	Rumen content metagenome of goat kids
PRJNA741607	Inhibitory Effects of Lactulose on Colitis-Associated Carcinogenesis by Restoration of the Gut Microbiota in AOM/DSS Mouse Model	In this study, we investigated the effect of lactulose on gastrointestinal inflammation and inflammation-related tumorigenesis in a mouse model of colorectal cancer. Eight week old female C57BL6 NCr Slc mice received a single intraperitoneal injection of azoxymethane, followed by oral administration of sodium dextran sulfateonce every 7 days per set in 3 sets. For lactulose treatment, mice were fed lactulose for 14 weeks after AOM/DSS treatment. Stool samples collected from mice were used for metagenomic analysis. Pathological progression and gene expression in tissues extracted 21 weeks after AOM injection were evaluated. AOM/DSS treatment induced colorectal tumorigenesis, enhanced the expression of tumor necrosis factor-alpha, interleukin-6 (IL-6), and transforming growth factor beta 1, and decreased intestinal flora diversity. Lactulose administration significantly suppressed tumor development, inhibited TNF and IL-6 upregulation, recovered the diversity in intestinal flora, and induced favorable modifications in intestinal bacterial composition. Starch degradation and amino acid metabolism upregulated by AOM/DSS treatment were suppressed by lactulose. These findings suggest that lactulose suppresses inflammatory tumorigenesis caused by inflammatory cytokines, potentially by modulating the diversity of the intestinal flora.
PRJNA741822	Genome level reveals that probiotics supplementation can alleviate the clinical symptoms of patients with coronary heart disease	Recently, researchers have attempted to positively steer the development of metabolic functions through targeted administration of specific probiotics, thereby preventing and improving related cardiovascular diseases. We conducted a 6-month randomized, double-blind, placebo-controlled clinical trial. Sixty patients with coronary heart disease were randomly divided into the probiotic group (n=36 Probio-M8, statins lipid-lowering drugs and metoprolol) and placebo group (n=24 placebo, statins lipid-lowering drugs and metoprolol). After 6 months of treatment, the angina pectoris of the placebo and probiotic groups were significantly improved, and the improvement effect of patients in the probiotic group was more obvious. The in-depth metagenomic analysis showed that significantly more species-level genome bins (SGBs) of Bifidobacterium adolescentis, Bifidobacterium animalis, Bifidobacterium bifidum, and Ruminococcaceae bacterium were identified in the fecal metagenomes of the probiotic group, while the abundances of SGBs representing the species Roseburia inulinivorans and Eubacterium sp. CAG:115 decreased significantly.
PRJNA741980	Comparison of viromes and microbiomes of 14 pig fecal samples	The question of the presence of phage encoded antibiotic-resistance genes was revisited here by sampling 14 pig fecal samples in various farms, and performing shotgun, deep sequencing on both total microbiota and highly purified viral fractions. The virome assemblies were sufficiently comprehensive to allow in addition the discovery of two new and prevailing viral taxa.
PRJNA744213	Systems genetics approaches uncover microbe-lipid-host connections	We used the Diversity Outbred (DO) stock, a population of genetically diverse mice derived from eight founder strains to characterize the fecal metagenomes and lipid profiles and further dissect the connections between host genetic variations, gut microbial features and gut lipid level using quantitative traits loci (QTL) analysis.
PRJNA744219	Metagenomic analysis revealed significant changes in cattle rectum microbiome and antimicrobial resistome under fescue toxicosis	Whole-genome shotgun metagenomic sequencing of cattle rectum microbiota before and after consumption of endophyte-infected tall fescue seeds
PRJNA744378	Metagenome of Chagas disease vector	The study was conducted to elucidate the changes occurring in the microbiome of the Chagas disease vector Rhodnius prolixus after exposure to Trypanosoma cruzi, the aetiological agent of Chagas disease, and T. rangeli, a non-pathogenic relative.
PRJNA748109	Broiler chicken microbial metagenome	The goal is to sequence and assemble broiler chicken's intestine microbial metagenome. The data we show is sequenced by Pacbio.SAMN29146368,SAMN29146369,SAMN20308465,SAMN29146371,SAMN29146372 are samples from Duodenum, Jejunum, Ileum, Cecum, and Colorectum, respectively
PRJNA750156	Diversity of ARGs in swine farm	The diversity of ARGs in swine manure, farm workers, and receiving environment
PRJNA750644	Raw sequence reads from gut microbiota of two wolf spider	Diversity, function and comparative analysis of gut microbiota of two wolf spider species Pardosa agraria and Pardosa laura
PRJNA752224	Microbiological characteristics of feces and rumen fluid of Angus cattle with high and low RFI	Residual Feed Intake (RFI) is the difference between the actual feed intake of an animal and the predicted intake based on weight gain rate and body size. After years of research and practice, RFI has become the main indicator of energy efficiency of livestock. And microorganisms play an important role in the conversion of feed into livestock products such as meat and milk. To investigate the correlation between RFI and its gastrointestinal microorganisms in beef cattle, 10 individuals with extreme high and low RFI were selected for this study, and individual rumen contents and fecal samples were collected for metagenomic sequencing after slaughter.
PRJNA753312	Mastitis microbiomes of cow and mouse Metagenome	In the present study, we evaluated the effect of bovine fecal and milk microbiota transplantations on the onset of mastitis in pregnant mice as a model. We collected fecal and milk samples from both CM and healthy (H) cows, and transplanted the microbiotas of these samples into recipient mice. We then investigated the changes in gut and mammary (milk and tissues) microbiota in response to transplantations by conducting high-throughput whole metagenome sequencing (WMS) followed by metataxonomic and metabolomic analyses of samples from both cows and mice.
PRJNA755866	Viruses in Bats	Detection of viruses in bats in Russia
PRJNA756556	Fiber Mixture for a Balanced Gut Microbiota and Human Health in Parkinson's Disease	In this study, we proposed to combine dietary fibers that target specific beneficial bacterial groups in the large intestine and distinct metabolites, such as acetate, butyrate and propionate, to compose a mixture with high tolerability and benefits to human colonic and systemic health.
PRJNA757579	Adjunctive probiotic Lactobacillus rhamnosus Probio-M9 enhances the effect of anti-PD-1 antitumor therapy via regulating the gut microbiota damaged by antibiotics	To evaluate the role of probiotics in restoring the antibiotic-destroyed gut microbiota and efficacy of ICB therapies, we studied the effect of Lactobacillus rhamnosus Probio-M9 combined with anti-PD-1 on mouse colon cancer and the dynamic changes of gut microbiome by metagenome analyses. The results showed that the combination of Probio-M9 significantly improved tumor inhibition compared with ICB therapy alone in antibiotics treated mice, which could be attribute to the upregulated microbial diversity and increased abundance of beneficial bacteria such as Bifidobacterium pseudolongum, Parabacteroides distasonis and some species of Bacteroides after Probio-M9 supplemented. These changes of structure and composition in gut microbiota caused the alternation of microbiome function, of which the sugar degradation, vitamin and amino acid synthesis pathways were significantly enriched. Collectively, this study indicated that Probio-M9 enhanced the host's immunotherapeutic response by promoting the colonization of beneficial bacteria and improving intestinal function.
PRJNA758898	feline metagenome sequencing	Whole-genome shotgun metagenomic assembly from fecal samples of eight normal and eight obese cats.
