study_accession	keep	gut	gut_conf	body_site	host_verdict	host	is_human	method_note	n_wgs_samples	library_source	llm_notes
PRJNA291299	KEEP	yes	high	gut_explicit	single_clear	Gallus gallus (chicken/hen)	False	agree	4	METAGENOMIC	GUT: yes (high) — Paper title explicitly states 'chicken gut microbiome'; abstract confirms metagenomic study of chicken; isolation source clearly states 'Caecal contents of control hens', 'prebiotic hens', 'probiotic hens', 'synbiotic hens' – caecum is a gut compartment. || BODY_SITE: gut_explicit — Isolation source field explicitly lists 'Caecal contents' for all samples. Caecum is a hindgut structure. Sample titles state 'Whole caecal metagenome sequencing'. Biome label: 'chicken gut metagenome'. || HOST: Gallus gallus (chicken/hen) [single_clear] — Host field states 'Hen'. Title and abstract consistently refer to 'chicken gut microbiome' and 'control hens', 'prebiotic hens', etc. All 4 samples are from hens under different dietary treatments (control, prebiotic, probiotic, synbiotic), not a multi-host survey – they represent replicates or treatment groups within a single-host comparative study. || METHOD: agree — ENA fields show library_strategy_mix: WGS:4 (4 WGS samples); library_source: METAGENOMIC (community DNA, not single organism); WGS/shotgun sample count: 4. Paper describes metagenomic sequencing of caecal contents from multiple hens under different treatments, consistent with 4 shotgun metagenomic libraries from a community source. || SUMMARY: This is a genuine animal gut microbiome study using shotgun metagenomics on chicken caecal samples under a controlled dietary intervention design. The host is unambiguously chicken (non-human), the body site is explicitly gut (caecum), and the method matches the ENA metadata.
PRJNA849257	KEEP	yes	high	gut_explicit	single_clear	Canis lupus familiaris	False	agree	24	METAGENOMIC	GUT: yes (high) — Paper title explicitly states 'fecal microbiome in dogs'; abstract confirms metagenomic study of fecal samples from Canis lupus familiaris with WGS sequencing. || BODY_SITE: gut_explicit — Isolation source field states 'feces'; biome label states 'gut metagenome'; paper title specifies 'fecal microbiome'. || HOST: Canis lupus familiaris [single_clear] — Host field and host species in samples both state 'Canis lupus familiaris' (domestic dog); paper title confirms dogs with idiopathic epilepsy as study subjects; sample titles reference individual dogs (Dog10, Dog11, Dog12, etc.) with repeated timepoints (Day0, Day90) indicating a longitudinal study of multiple individual dogs, not an incidental trace sample. || METHOD: agree — ENA fields show library_strategy_mix WGS:24 with 24 WGS/shotgun samples; library_source METAGENOMIC; isolation_source feces. Paper title and abstract describe fecal microbiome sequencing study consistent with shotgun metagenomic approach. || SUMMARY: This is a genuine animal gut microbiome study using shotgun WGS sequencing of fecal samples from domestic dogs (Canis lupus familiaris) with a clear longitudinal design examining phenobarbital treatment effects. Host identification is unambiguous and represents a multi-individual comparative study, not an incidental sample.
PRJNA782533	KEEP	yes	high	gut_explicit	single_clear	Homo sapiens (children)	True	agree	79	METAGENOMIC	GUT: yes (high) — Isolation source explicitly states 'human feces'; library_source is 'METAGENOMIC' (community DNA); 79 WGS shotgun samples of fecal microbiome. Humans are animals; fecal microbiome is a valid gut microbiome study. || BODY_SITE: gut_explicit — Biome label 'feces metagenome'; isolation source 'human feces'; sample titles mention 'shotgun metagenomics of children' in context of fecal sampling. Feces is explicit gut marker. || HOST: Homo sapiens (children) [single_clear] (HUMAN) — Isolation source 'human feces'; sample titles reference 'children with ASD and MTT' (autism spectrum disorder and possibly a microbiota-related condition). Single host species (humans), though study compares disease groups. || METHOD: agree — WGS/shotgun library_strategy (79 samples) matches 'shotgun metagenomics' in sample titles; library_source 'METAGENOMIC' matches community DNA extraction from feces; no contradiction detected. || SUMMARY: This is a valid human gut microbiome study of children with autism and related condition(s), using shotgun metagenomics of fecal samples. The study meets all criteria for true animal (human) gut WGS metagenomics.
PRJNA493817	KEEP	yes	high	gut_explicit	single_clear	Equus caballus	False	agree	2	METAGENOMIC	GUT: yes (high) — Isolation source explicitly states 'Equus caballus gut'; biome label is 'feces metagenome'; library_source is METAGENOMIC indicating community DNA from gut microbiome || BODY_SITE: gut_explicit — Isolation source: 'Equus caballus gut'; Biome label: 'feces metagenome'; Host field: 'feces metagenome' || HOST: Equus caballus [single_clear] — Isolation source unambiguously identifies 'Equus caballus gut' (domestic horse); no multiple hosts or incidental sampling indicated || METHOD: agree — WGS strategy (shotgun metagenomics, n=2 samples) aligns with METAGENOMIC library source and feces-based community DNA sampling || SUMMARY: This is a straightforward single-host equine gut microbiome study using WGS (shotgun metagenomics) of fecal samples. All criteria point to genuine animal gut microbiome data from horse.
PRJNA818062	KEEP	yes	high	gut_explicit	multi_host	Homo sapiens	True	agree	45	METAGENOMIC	GUT: yes (high) — Biome label explicitly states 'feces metagenome'; library_source is METAGENOMIC (community DNA); 45 WGS shotgun samples confirm sequencing methodology appropriate for gut microbiome. Humans are animals; human gut microbiome studies qualify as animal gut studies. || BODY_SITE: gut_explicit — Biome label: 'feces metagenome' explicitly identifies gut-derived samples. Feces is the standard isolation source for gut microbiome studies. || HOST: Homo sapiens [multi_host] (HUMAN) — Host field states 'Homo sapiens' (single species). Isolation sources list 20 distinct sample identifiers (CH1–CH14, H1–H14), suggesting multiple individual human subjects (inferred: 'CH' and 'H' prefixes may denote different cohorts or treatment groups). This is a comparative study of multiple human gut microbiomes, not an incidental sampling. || METHOD: agree — ENA fields specify WGS (shotgun) with 45 samples, library_source METAGENOMIC, and biome/isolation source consistent with fecal metagenomics. No contradiction detected. || SUMMARY: This is a genuine human gut microbiome study using shotgun metagenomics on 45 fecal samples from multiple subjects. The multi-subject design (inferred from sample identifiers) qualifies this as a multi-host comparative study rather than a single-subject or incidental sampling.
PRJNA492361	KEEP	yes	high	gut_explicit	single_clear	Pristis pectinata	False	agree	1	METAGENOMIC	GUT: yes (high) — Biome label explicitly states 'fish gut metagenome'; sample titles reference 'fish gut metagenome'; library_source is METAGENOMIC (community DNA, not single organism); WGS/shotgun strategy confirms metagenomics approach. || BODY_SITE: gut_explicit — Biome label: 'fish gut metagenome'; sample titles: 'Model organism or animal sample from fish gut metagenome' — gut site is explicitly stated in both metadata fields. || HOST: Pristis pectinata [single_clear] — Host field: Pristis pectinata (smalltooth sawfish); host species in samples shows 1 distinct species (Pristis pectinata); single WGS sample from one host species; no multi-host comparative design indicated. || METHOD: agree — Library strategy WGS (1 sample) and library_source METAGENOMIC align with shotgun metagenomics sampling of fish gut community; no contradictions detected. || SUMMARY: This is a straightforward single-host fish gut metagenome study using WGS shotgun sequencing to profile the microbial community in Pristis pectinata. All metadata elements (host, body site, method) are concordant and explicit.
PRJEB86258	KEEP	yes	high	gut_explicit	single_clear	Gallus gallus	False	agree	2723	METAGENOMIC	GUT: yes (high) — Biome label explicitly states 'gut metagenome'; body sites are intestinal compartments (Caecum, Colon, Ileum); library_source is METAGENOMIC (community DNA); WGS strategy confirmed for 2723 samples. || BODY_SITE: gut_explicit — Body site field lists: 'Caecum; Caecum right; Colon; Ileum' — all are anatomically part of the avian gastrointestinal tract. Biome label: 'gut metagenome'. || HOST: Gallus gallus [single_clear] — Host field: 'Gallus gallus' (domestic chicken); host species in samples shows 1 distinct species matching the host field. No evidence of multiple host species or incidental sampling. || METHOD: agree — ENA fields confirm WGS/shotgun metagenomic strategy (2723 WGS samples); library_source is METAGENOMIC (community DNA); this is consistent with shotgun metagenomics of gut microbial communities. || SUMMARY: This is a genuine, well-documented animal (chicken) gut microbiome study using shotgun WGS across multiple intestinal sites. A single host species (Gallus gallus) sampled systematically from defined gut compartments with metagenomic sequencing.
PRJDB14449	KEEP	yes	high	gut_explicit	genus_only	Chimaeridae	False	agree	3	METAGENOMIC	GUT: yes (high) — Biome label explicitly states 'fish gut metagenome'; library_source is METAGENOMIC (community DNA, not single organism); 3 WGS shotgun samples from gut community || BODY_SITE: gut_explicit — Biome label explicitly specifies 'fish gut metagenome'; no alternative body sites mentioned || HOST: Chimaeridae [genus_only] — Host field lists 'Chimaeridae' (family level, not species); sample titles repeat 'Chimaeridae_1; Chimaeridae_2; Chimaeridae_3'; no species-level identification provided; three distinct samples suggest a single-host or multi-individual study of the same host taxon, not incidental sampling || METHOD: agree — WGS/shotgun method (3 samples, library_strategy_mix WGS:3) aligns with metagenomic library_source and biome descriptor; no contradiction detected || SUMMARY: This is a valid animal (fish) gut metagenome study with three shotgun WGS samples from Chimaeridae. Host is identified at family level only, limiting species-level clarity, but all three samples are from the same taxon and body site (gut) is explicitly confirmed.
PRJNA1269239	KEEP	yes	high	gut_explicit	multi_host	Mallard (Anas platyrhynchos) and Shaoxing duck (Anas platyrhynchos domesticus)	False	agree	33	METAGENOMIC	GUT: yes (high) — Paper title explicitly states 'gut microbiota' study; biome label 'gut metagenome'; isolation sources listed as 'Cecum; Ileum' (both gut compartments); library_source 'METAGENOMIC' confirms community DNA sequencing || BODY_SITE: gut_explicit — Biome label states 'gut metagenome'; isolation sources explicitly list 'Cecum' and 'Ileum' which are intestinal structures; abstract title mentions 'gut microbiota' || HOST: Mallard (Anas platyrhynchos) and Shaoxing duck (Anas platyrhynchos domesticus) [multi_host] — Paper title: 'Mallards and domesticated Shaoxing ducks'; abstract author list and sample titles confirm two distinct duck hosts being compared in a genuine comparative study of their gut microbiota; this is a study OF multiple animal hosts' guts, not an incidental survey || METHOD: agree — ENA fields show library_strategy_mix 'WGS:33' (33 shotgun samples), library_source 'METAGENOMIC' (community DNA), and 33 WGS samples total; this aligns with a multi-omics metagenomic study design examining gut community genomes from two duck species || SUMMARY: This is a genuine comparative multi-host animal gut microbiome study using shotgun metagenomic sequencing on cecal and ileal samples from Mallards and domesticated Shaoxing ducks. All criteria are clearly stated with no contradictions or ambiguities.
PRJNA1260157	KEEP	yes	high	gut_explicit	single_clear	Mus musculus	False	agree	6	METAGENOMIC	GUT: yes (high) — Paper title explicitly states 'gut microbiota' in mice; biome label is 'mouse gut metagenome'; library_source is METAGENOMIC (community DNA, not single organism genome); 6 WGS shotgun samples from gut microbiota study. || BODY_SITE: gut_explicit — Paper title includes 'gut microbiota'; biome label explicitly states 'mouse gut metagenome'; study investigates how gut microbiota mediates depression-like behaviors. || HOST: Mus musculus [single_clear] — Host field explicitly states 'Mus musculus'; host species in samples shows 1 distinct species (Mus musculus); all 5 named samples are from mice (blank control group and model group replicates); no multi-host survey design indicated. || METHOD: agree — ENA library_strategy_mix shows WGS:6 (6 WGS samples); library_source is METAGENOMIC (appropriate for community DNA); paper describes a metagenomics study of gut microbiota; method and metadata are consistent. || SUMMARY: This is a genuine single-host animal gut microbiome study using shotgun metagenomics (WGS) to characterize mouse gut microbial communities in the context of parasitic infection and behavioral outcomes. All criteria align: mouse host, gut samples, metagenomic methods, and explicit documentation.
PRJNA898082	KEEP	yes	high	gut_explicit	single_clear	beagle	False	agree	51	METAGENOMIC	GUT: yes (high) — Paper title: 'Alterations in Gut Microbiota Correlate With Hematological Injuries Induced by Radiation in Beagles.' Abstract confirms gut microbiota study. Biome label: 'gut metagenome'. Library source: METAGENOMIC (community DNA, not single organism genome). || BODY_SITE: gut_explicit — Paper title explicitly states 'Gut Microbiota'. Biome label field states 'gut metagenome'. No alternative body sites mentioned. || HOST: beagle [single_clear] — Paper title explicitly names 'Beagles' as the study organism. Host field confirmed as 'beagle'. All 51 WGS samples are from beagles exposed to radiation treatment in a controlled experiment (sample naming: Sample-0d1, 0d10, 0d12, etc. suggests timepoint collection from same cohort). || METHOD: agree — Library strategy: WGS (51 samples). Library source: METAGENOMIC. Matches shotgun metagenomic sequencing of gut microbiota. No stated contradiction between metadata and described methods. || SUMMARY: This is a straightforward, single-host animal gut microbiome study using WGS shotgun sequencing on beagle fecal or intestinal samples collected at multiple timepoints during a radiation exposure experiment. All four criteria are clearly met with high confidence.
PRJNA1138893	KEEP	yes	high	gut_explicit	single_clear	Homo sapiens	True	agree	46	METAGENOMIC	GUT: yes (high) — Biome label explicitly states 'human gut metagenome'; sample titles reference 'human gut metagenome'; Host field shows Homo sapiens; library_source is METAGENOMIC (community DNA, not single organism genome). || BODY_SITE: gut_explicit — Biome label: 'human gut metagenome'; sample titles: 'Metagenome or environmental sample from human gut metagenome'; no conflicting skin/oral/other body site claims. || HOST: Homo sapiens [single_clear] (HUMAN) — Host field explicitly states 'Homo sapiens'; Host species in samples shows 1 distinct species: Homo sapiens; no multi-host survey design indicated; study focuses on Bacteroides ovatus effects in human colorectal cancer context. || METHOD: agree — ENA records 46 WGS (shotgun metagenomics) samples with library_source METAGENOMIC, consistent with a shotgun metagenomics study of human gut microbial communities; no conflict between title/abstract and metadata strategy. || SUMMARY: This is a valid human gut microbiome study using WGS metagenomics (46 samples) to investigate Bacteroides ovatus metabolites and colorectal cancer mechanisms. Humans are animals; therefore true_animal_gut = yes. All four criteria are clear and consistent.
PRJNA1232403	KEEP	yes	high	gut_explicit	single_clear	Apis mellifera	False	agree	98	METAGENOMIC	GUT: yes (high) — Paper title: 'Phage diversity mirrors bacterial strain diversity in the honey bee gut microbiota.' Abstract explicitly states focus on 'bacterial communities' and 'community composition' in the gut. Biome label: 'insect gut metagenome'. Isolation source: 'hindgut'. || BODY_SITE: gut_explicit — Isolation source field explicitly states 'hindgut'. Paper title includes 'gut microbiota'. Biome label specifies 'insect gut metagenome'. || HOST: Apis mellifera [single_clear] — Host field: Apis mellifera (honey bee). Host species in samples: 1 distinct species (Apis mellifera). Study explicitly examines phage-bacterial diversity relationship in honey bee gut with 98 shotgun metagenomics samples from a single host species. || METHOD: agree — ENA library_strategy_mix shows WGS:98 (98 whole-genome shotgun samples). library_source is METAGENOMIC (community DNA, appropriate for microbiota study). Paper title and abstract describe a metagenomic survey of phage and bacterial diversity, consistent with WGS community sequencing approach. || SUMMARY: This is a straightforward, rigorous animal gut microbiome study of honey bee (Apis mellifera) hindgut using 98 WGS metagenomic samples. Host, body site, methods, and study design are all clearly stated and internally consistent with no contradictions or incidental sampling.
PRJEB51122	KEEP	yes	high	gut_explicit	multi_host	multi_host (pig, horse, human, primate)	True	agree	161	METAGENOMIC	GUT: yes (high) — Host field explicitly states 'pig gut metagenome'; library_source is METAGENOMIC (community DNA, not single organism); 161 WGS shotgun samples are consistent with a microbiome study. The biome labels include 'pig gut metagenome' confirming gut origin. || BODY_SITE: gut_explicit — Host field states 'pig gut metagenome'; biome labels include 'pig gut metagenome' and 'feces metagenome', both explicit gut/fecal designations. || HOST: multi_host (pig, horse, human, primate) [multi_host] (HUMAN) — Biome labels list multiple distinct hosts: 'feces metagenome; horse metagenome; human gut metagenome; pig gut metagenome; primate metagenome'. Sample titles show prefixes (FE, FH1, FL) suggesting different animal groups. Host species in samples field shows '0 distinct', meaning species-level identification is unavailable from metadata, but the biome diversity and sample naming pattern strongly suggest this is a multi-host comparative study rather than single-host. Inference: the sample prefixes likely encode host type (e.g., FE=feces/equine(?), FH=horse(?), FL=possibly fermented/other, pig samples unmarked or mixed). || METHOD: agree — WGS/shotgun sample count (161) matches library_strategy_mix WGS count (161); library_source METAGENOMIC is appropriate for community gut DNA; method is consistent with stated shotgun metagenomics study design. || SUMMARY: This is a valid multi-host gut microbiome study combining fecal/gut samples from pigs, horses, humans, and primates using shotgun WGS. The biome labels and sample nomenclature indicate a comparative survey rather than single-host work, though the primary host field mentions 'pig gut metagenome' (likely the dominant or primary animal focus). Humans are included as a valid animal host.
PRJNA1158959	KEEP	yes	high	gut_explicit	multi_host	Sus scrofa (multiple subspecies)	False	agree	89	METAGENOMIC	GUT: yes (high) — Paper title explicitly states 'wild boar faecal microbiome'; sample titles state 'pig gut metagenome'; library_source is METAGENOMIC (community DNA); 89 WGS shotgun samples from gut environment. || BODY_SITE: gut_explicit — Paper title specifies 'faecal microbiome'; sample titles state 'pig gut metagenome'; biome label 'pig gut metagenome' explicitly designates gut as body site. || HOST: Sus scrofa (multiple subspecies) [multi_host] — Study is a genuine comparative survey OF multiple Sus subspecies' guts, not incidental sampling. Four distinct host species documented: Sus scrofa, Sus scrofa cristatus, Sus scrofa leucomystax, Sus scrofa vittatus. Paper title explicitly contrasts 'wild and domesticated Sus.' This is a multi-host comparative gut microbiome study, not a single-host study. || METHOD: agree — ENA metadata specifies library_strategy_mix of WGS:89 and library_source METAGENOMIC, which aligns with title's 'metagenomic' approach and shotgun (WGS) sequencing of faecal community DNA samples. || SUMMARY: This is a genuine, rigorously documented multi-host animal gut microbiome study using shotgun metagenomics on wild boar and domesticated pig faecal samples across multiple Sus subspecies. Gut origin is explicitly stated in title, sample descriptions, and biome labels.
PRJEB31650	KEEP	yes	high	gut_explicit	single_clear	Sus scrofa	False	agree	567	METAGENOMIC	GUT: yes (high) — library_source is METAGENOMIC (community DNA), library_strategy_mix shows 567 WGS samples, biome label explicitly states 'pig gut metagenome', and isolation source includes 'Feces' which is gut-derived material. || BODY_SITE: gut_explicit — Biome label explicitly states 'pig gut metagenome'; isolation source lists 'Feces' which is gut-derived material. || HOST: Sus scrofa [single_clear] — Host field states 'Sus scrofa'; host species in samples shows 1 distinct species: Sus scrofa (domestic pig). || METHOD: agree — library_strategy_mix indicates WGS (567 samples), library_source is METAGENOMIC (appropriate for shotgun metagenomics), and isolation source 'Feces' is consistent with gut microbiome collection. || SUMMARY: This is a straightforward pig gut metagenome study with 567 WGS shotgun samples from fecal material. All four criteria are clearly satisfied with explicit evidence of gut origin, single host species, appropriate metagenomic methods, and high confidence across all assessments.
PRJNA397886	REVIEW	yes	high	gut_explicit	single_clear	Mus musculus	False	mismatch	52	METAGENOMIC	GUT: yes (high) — Paper title states 'laboratory mouse microbiota'; abstract describes 'model microbial community'; biome label explicitly 'mouse gut metagenome'; isolation source 'stool'; sample titles reference 'mouse gut metagenome'. This is a genuine animal gut microbiome study. || BODY_SITE: gut_explicit — Biome label: 'mouse gut metagenome'; isolation source: 'stool'; sample titles: 'Metagenome or environmental sample from mouse gut metagenome'. Gut site is explicitly stated across multiple metadata fields. || HOST: Mus musculus [single_clear] — Host field: 'Mus musculus'; host species in samples: '1 distinct' entry of 'Mus musculus'; paper title specifies 'laboratory mouse'. Single, unambiguous host species. || METHOD: mismatch — Paper title and abstract emphasize 'single cell genome sequencing' for improved taxonomic/functional resolution. However, ENA library_strategy_mix shows 'WGS:52' (shotgun metagenomics) with 52 WGS samples and library_source listed as METAGENOMIC (community DNA). The study appears to involve single-cell sequencing methods not standard WGS, but is cataloged as conventional WGS shotgun metagenomics in ENA. || SUMMARY: This is a legitimate mouse gut microbiome study using advanced single-cell genomic methods applied to stool samples. The metadata correctly identifies the gut site and single host species, but the ENA classification as standard WGS shotgun metagenomics may underrepresent the single-cell sequencing methodology described in the paper.
PRJNA1219188	KEEP	yes	high	gut_explicit	single_clear	Sus scrofa domestica	False	agree	185	METAGENOMIC	GUT: yes (high) — Abstract states 'faecal shotgun metagenomics' and biome label explicitly 'gut metagenome'; isolation source 'feces' confirms gut origin; 185 WGS samples of metagenomic community DNA from pig intestinal habitat. || BODY_SITE: gut_explicit — Biome label field states 'gut metagenome'; isolation source field states 'feces'; sample titles reference 'gut metagenome'; abstract explicitly mentions 'piglet gut microbiota'. || HOST: Sus scrofa domestica [single_clear] — Host field explicitly states 'Sus scrofa domestica' (domestic pig); abstract confirms 'piglet gut microbiota' and 'pig farming'; single host organism studied throughout; no multi-host sampling. || METHOD: agree — Paper states 'faecal shotgun metagenomics'; ENA records show library_strategy_mix WGS:185 and library_source METAGENOMIC, consistent with shotgun metagenomics approach on community DNA from fecal samples. || SUMMARY: This is a straightforward single-host animal gut microbiome study using shotgun metagenomics on fecal samples from piglets (Sus scrofa domestica) to investigate how dietary copper influences gut microbiota composition and Salmonella interactions. All metadata and methodological fields align consistently.
PRJDB32644	KEEP	yes	high	gut_explicit	single_clear	Mus musculus	False	agree	18	METAGENOMIC	GUT: yes (high) — Biome label explicitly states 'feces metagenome'; library_source is METAGENOMIC (community DNA, not single organism); 18 WGS samples of gut microbiome from mouse. || BODY_SITE: gut_explicit — Biome label field explicitly states 'feces metagenome', which is unambiguous gut origin. || HOST: Mus musculus [single_clear] — Host field states 'Mus musculus'; only 1 distinct host species identified across all 18 samples; sample titles (E_coil_1 through E_coil_5 shown) confirm single host context. || METHOD: agree — ENA WGS fields show 18 WGS samples with library_source METAGENOMIC, matching a legitimate shotgun metagenomics study of fecal microbiome. || SUMMARY: Clear mouse fecal metagenomics study with 18 WGS samples from a single host species (Mus musculus). No contradictions between host field and available metadata; body site is explicitly gut-derived (feces).
PRJNA273761	KEEP	yes	high	gut_explicit	single_clear	Homo sapiens (infants)	True	agree	60	METAGENOMIC	GUT: yes (high) — Paper title and abstract explicitly state study of infant gut microbiome. Biome label: 'human gut metagenome'. Isolation source: 'fecal sample' from infants. Library source: METAGENOMIC (community DNA). Humans are animals; human gut microbiome studies are valid animal gut studies per instructions. || BODY_SITE: gut_explicit — Biome label explicitly states 'human gut metagenome'. Isolation source explicitly states 'fecal sample' from infants. No non-gut body sites mentioned. || HOST: Homo sapiens (infants) [single_clear] (HUMAN) — Host field: Homo sapiens. Host species in samples: 1 distinct species (Homo sapiens). Sample titles reference multiple individual infants (Infant N3_176, N3_177, etc.) at different days of life (DOL), but all are human infants in a single-host-species study. This is a longitudinal/comparative study OF multiple infant individuals' guts, not a multi-host survey where humans are incidental. || METHOD: agree — ENA fields specify library_strategy_mix: WGS:60 (60 whole-genome shotgun samples), library_source: METAGENOMIC. Paper is about gut microbiome composition and carriage of resistance genes, consistent with shotgun metagenomic sequencing of fecal community DNA. No mismatch detected. || SUMMARY: This is a genuine human infant gut microbiome study using WGS metagenomic sequencing of fecal samples. Humans are animals; human gut studies are valid animal gut studies. Single host species (Homo sapiens) with multiple individual infants sampled longitudinally—a comparative study OF infant guts, not incidental sampling.
PRJNA945365	KEEP	yes	high	gut_explicit	single_clear	Micropterus salmoides	False	unclear	15	METAGENOMIC	GUT: yes (high) — Paper title explicitly states 'gut microbiome of grass carp'; isolation source listed as 'Intestinal'; biome label 'fish gut metagenome'; library_source is METAGENOMIC (community DNA, not single organism) || BODY_SITE: gut_explicit — Isolation source field states 'Intestinal'; biome label explicitly 'fish gut metagenome'; paper title references 'gut microbiome' || HOST: Micropterus salmoides [single_clear] — Host field and host species in samples both state 'Micropterus salmoides' (largemouth bass); one distinct species; paper title focuses on 'grass carp' but INFERENCE: title may refer to the study organism or there is a nomenclature discrepancy—however, the ENA metadata consistently identifies Micropterus salmoides across all fields || METHOD: unclear — ENA records 15 WGS (shotgun metagenomic) samples; paper title mentions 'multi-omics approach' suggesting additional methods beyond WGS (e.g., metabolomics, proteomics); however, the WGS component aligns with the metagenomics shotgun strategy. Cannot fully verify multi-omics claim from ENA metadata alone. || SUMMARY: This is a genuine animal (fish) gut microbiome study with explicit intestinal sampling and metagenomic sequencing. Host is clearly identified as Micropterus salmoides across metadata fields, though the paper title mentions 'grass carp'—a potential species mismatch that warrants verification against the full paper.
PRJNA1204506	KEEP	yes	high	gut_explicit	single_clear	Gallus gallus	False	agree	5	METAGENOMIC	GUT: yes (high) — Biome label explicitly states 'chicken gut metagenome'; isolation source is 'feces'; library_source is METAGENOMIC (community DNA); 5 WGS shotgun samples from a single host species. || BODY_SITE: gut_explicit — Biome label 'chicken gut metagenome' and isolation source 'feces' explicitly identify the gut compartment. || HOST: Gallus gallus [single_clear] — Host field and host species in samples both consistently report a single species: Gallus gallus (domestic chicken). No multi-host comparison indicated; no incidental sampling pattern evident. || METHOD: agree — Library strategy mix shows WGS:5 (5 whole-genome shotgun samples); library_source is METAGENOMIC, consistent with shotgun metagenomics from a community (fecal microbiome). No contradiction between method fields and stated biome/isolation source. || SUMMARY: This is a straightforward single-host chicken gut microbiome study with 5 metagenomic shotgun samples from fecal material. All evidence points to genuine animal gut shotgun sequencing with no multi-host complexity or sampling site ambiguity.
PRJDB38794	KEEP	yes	high	gut_explicit	single_clear	Apis cerana	False	agree	8	METAGENOMIC	GUT: yes (high) — Biome label explicitly states 'gut metagenome'; library_source is 'METAGENOMIC' (community DNA); host is Apis cerana (honeybee), a non-human animal. || BODY_SITE: gut_explicit — Biome label field explicitly states 'gut metagenome'. || HOST: Apis cerana [single_clear] — Host field and host species in samples both unambiguously identify Apis cerana (Eastern honeybee) across all 8 samples; single species, non-human animal. || METHOD: agree — ENA fields show WGS/shotgun sequencing (8 WGS samples), library_source METAGENOMIC (appropriate for community gut DNA), matching a metagenomic study design. || SUMMARY: PRJDB38794 is a straightforward animal gut metagenomics study of Apis cerana (honeybee) gut microbiome, with 8 shotgun WGS samples explicitly labeled as gut metagenome. Single host species, no ambiguity.
PRJEB28237	KEEP	yes	high	gut_explicit	single_clear	Homo sapiens	True	agree	191	METAGENOMIC	GUT: yes (high) — Biome label explicitly states 'gut metagenome'; library_source is METAGENOMIC (community DNA, not single organism); sample titles refer to 'human gut microbiomes'; 191 WGS shotgun samples || BODY_SITE: gut_explicit — Biome label field explicitly states 'gut metagenome'; sample titles explicitly reference 'human gut microbiomes' || HOST: Homo sapiens [single_clear] (HUMAN) — Sample titles state 'human gut microbiomes'; no evidence of multi-host or incidental sampling; all 191 samples appear to be from human gut based on consistent labeling || METHOD: agree — library_strategy_mix shows WGS:191 (shotgun metagenomics); library_source is METAGENOMIC (community DNA); this aligns with gut microbiome shotgun sequencing methodology || SUMMARY: This is a legitimate human gut microbiome study based on metagenomics community DNA (191 WGS samples), with explicit gut biome labeling and sample titles confirming human gut origin. The method (shotgun metagenomic sequencing) matches the ENA WGS metadata.
PRJEB86255	KEEP	yes	high	gut_explicit	single_clear	Gallus gallus	False	agree	720	METAGENOMIC	GUT: yes (high) — Biome label explicitly states 'gut metagenome'; body sites are 'Caecum' and 'Caecum right' (part of avian gut); library_source is METAGENOMIC (community DNA, not host genome); 720 WGS shotgun samples confirm metagenomic sequencing strategy. || BODY_SITE: gut_explicit — Body site field explicitly lists 'Caecum' and 'Caecum right', which are anatomically part of the avian gastrointestinal tract; biome label confirms 'gut metagenome'. || HOST: Gallus gallus [single_clear] — Host field states 'Gallus gallus' (domestic chicken); host species in samples shows 1 distinct species: Gallus gallus; sample titles (D300923–D300927) do not indicate multiple host individuals or species. || METHOD: agree — Library strategy is WGS (shotgun metagenomic sequencing); library_source is METAGENOMIC, consistent with community DNA extraction from gut samples; 720 WGS samples align with stated metagenomic approach for caecal microbiome. || SUMMARY: This is a straightforward avian gut microbiome study using shotgun metagenomics on caecal samples from domestic chickens (Gallus gallus). All metadata fields are internally consistent and support a genuine single-host WGS metagenomics study.
PRJNA389749	KEEP	yes	high	gut_explicit	single_clear	Sus scrofa	False	agree	8	METAGENOMIC	GUT: yes (high) — library_source is METAGENOMIC (community DNA, not single organism); biome label explicitly states 'pig gut metagenome'; isolation source states 'caecal digesta' (cecal contents from gut). || BODY_SITE: gut_explicit — isolation source explicitly 'caecal digesta'; sample titles reference 'cecum'; biome label 'pig gut metagenome'; cecum is part of the large intestine/gut. || HOST: Sus scrofa [single_clear] — Host field and host species in samples both state 'Sus scrofa' (domestic pig). Single host species, 8 samples, no evidence of multi-host study (samples labeled H1, H2, H3, H4, L1 appear to be individual animal replicates, not different species). || METHOD: agree — WGS/shotgun metagenomic approach (8 WGS samples) is consistent with stated library_strategy_mix and METAGENOMIC library_source. No contradictions detected. || SUMMARY: This is a straightforward single-host (Sus scrofa) gut microbiome study using WGS metagenomics of cecal digesta samples. All four criteria are clearly satisfied with high confidence.
